_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-298.9307858500517,5000,0.021341165252977707,-1.4908589758930226,1.1707417621046756,0.07194228436252445,-0.04561268,-2.7585077,2.4172494,0.40978754,-1.4210854715202004e-17,-2.899867819562707,3.480345671664809,0.9999893238794213,-0.23483368118524273,-0.5222035844658021,0.003243155562970418,0.008685641323665705,5,-0.01138562,5.4970007,0.008215471,1.5,1.0,0.003969334449412923,0.5430480197012231,-3.612108414286954
-344.1634570751386,5000,0.021399541985937222,-1.5997840272100086,1.5838572889156879,0.07723747638682052,-0.02828666,-2.7480032,2.6157334,0.40456787,-2.2737367544323207e-17,-4.050956402284446,3.33171465996807,0.9999610211228063,-0.2950202104163901,-0.6466859889608072,0.004938071735412655,0.017860990565599005,10,-0.0073292116,5.5264935,0.0056590433,1.5,1.0,0.008954437484137968,0.5479969987284958,-0.33642999186218336
-305.3021729967501,5000,0.024779277591942126,-1.4281204456415688,1.3603257973680642,0.08009506684890963,-0.024177026,-2.7456045,2.6068313,0.41747096,-2.2737367544323207e-17,-3.7429699122103974,4.461744915496433,0.9999666373740574,-0.2516527070459312,-0.7019630235902373,0.03351669876021212,0.01914050352007677,15,-0.009460201,5.5084796,0.005189556,1.5,1.0,0.011529546258870206,0.4236839460411501,0.3170265145552713
-273.372289965644,5000,0.02606357086979831,-1.3582910331432627,1.2921563860675005,0.07718678792194757,-0.050997835,-2.6687741,2.617092,0.409366,-2.2737367544323207e-17,-4.3135228489555155,4.503076910819476,0.9999457090120357,-0.23451303011899144,-0.4633298189132222,0.007915478808927907,0.008267006171094904,20,-0.01137828,5.495552,0.007445615,2.25,1.0,0.002474454651396878,0.7048971942637483,0.5621055045405243
-240.74715487557802,5000,0.02991559414927463,-1.3016033998464491,1.3095836252749193,0.07783506495346229,-0.052574642,-2.4114134,2.692192,0.40851393,3.979039320256561e-17,-4.62482061320241,5.043548415503323,0.9999498702519967,-0.20873579065234008,-0.4708414999975029,0.0007219637052464702,0.007323481330797275,25,-0.0072473395,5.4735394,0.0032690265,2.25,1.0,0.0036138266962210475,0.5156130372804857,0.3498407259622617
-218.80369916666072,5000,0.03156543033012226,-1.2529167067465785,1.243443897909212,0.07725617477579527,-0.049233064,-2.472994,2.5610485,0.39712322,0.0,-4.221809807704777,5.3077130849540906,0.999936458813292,-0.18342444587395546,-0.33151725189592524,0.010361004351997584,0.006521470133627744,30,-0.0070567727,5.4449487,0.0030930585,2.25,1.0,0.0020991836993020595,0.6818406699743151,0.4827299350838632
