_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-369.0393032308405,5000,0.03309683186364377,-1.3703414232274485,1.0463359730411752,0.07404953406782158,0.09183992,-3.197584,2.7846296,0.4177548,-2.2737367544323207e-17,-4.150938217448389,3.392892724178869,0.999975185486474,-0.31347822661630853,-0.8036706307516324,0.013763105409134854,0.02610371108478647,5,-0.014630886,5.489155,0.009059865,1.5,1.0,0.013997786173326487,0.4653083480610759,-0.2677819862011328
-388.1080313534045,5000,0.045026448772465325,-1.0620580124924006,1.2285886458312156,0.06998873287813046,0.10756086,-2.380236,2.6273615,0.3993005,5.684341886080802e-18,-5.469371203399928,3.2310148159979466,0.9999733635747018,-0.33442315330127587,-0.7370564066224908,0.04046505983011277,0.024129169516626785,10,-0.008291695,5.483076,0.006110593,2.25,1.0,0.013707468940849938,0.43826298294369215,0.24722921097629502
-334.8881634016931,5000,0.03994624339648923,-1.3756696441309975,1.292178803743019,0.07300406432876325,0.10304202,-2.599108,2.8415136,0.40544152,-5.684341886080802e-18,-3.3869095270574725,4.057576588972883,0.9999697804845986,-0.3047235825586563,-0.7524381782941947,0.10264840678696585,0.03307669717311498,15,-0.0069627604,5.4843206,0.0030114655,2.25,1.0,0.02157093468349466,0.3556526250347958,0.3162423910074351
-348.15785987436954,5000,0.03522811627581479,-1.161207624655443,1.2945097928421687,0.07305972790078326,0.101442575,-2.3914948,3.170598,0.40549493,0.0,-5.251820439383702,3.1147042468574866,0.9999684596277506,-0.27649956169400974,-0.7216159535941313,0.040298043276597056,0.025221353832997038,20,-0.007978864,5.4613514,0.0036649017,2.25,1.0,0.015595384904820968,0.38260104011741713,0.24255385962290088
-324.87477898075826,5000,0.03425869239631017,-1.2055396450456664,1.4481532319464085,0.07441368400143086,0.096078,-2.5917156,2.523084,0.4064225,1.7053025658242403e-17,-3.4170988019772137,3.4721448387672855,0.9999711261897873,-0.27502103712659226,-0.6481217970929622,0.08509740198567743,0.022492863457691834,25,-0.007150254,5.4596596,0.0033088997,2.25,1.0,0.0162377473352932,0.27811592650430195,0.2385125496662469
-318.2980541214566,5000,0.03165783317854365,-1.3818829187863297,1.2432730212977912,0.07505018953486607,0.08737517,-2.796873,2.478226,0.40494743,1.4210854715202004e-17,-3.2063081592927163,3.778625074269667,0.9999656814366142,-0.25996715616573995,-0.5648339478384012,0.12780445943061652,0.020200068326140855,30,-0.006345382,5.461895,0.0030306168,2.25,1.0,0.01205978547363739,0.40779923371779647,0.37061640745343816
-264.4973422770199,5000,0.03188661013405829,-1.25075154720167,1.1511064032469491,0.0764151124277334,0.08702023,-2.3086095,2.7078724,0.4116415,1.1368683772161604e-17,-3.288877437460394,3.4330823999243547,0.9999685156286949,-0.20759043648628325,-0.5027844323671445,0.10308779097965137,0.020145757430790986,35,-0.005891769,5.456356,0.00247043,2.25,1.0,0.014523033094548813,0.2987851358006719,0.2760656730759753
-300.1006491784949,5000,0.0324020205222691,-1.0758245921848517,1.2450509810880999,0.07627643400592062,0.09142643,-2.502773,2.6093688,0.40683746,-2.842170943040401e-17,-2.6530462163274113,3.7113850590693724,0.9999662644488617,-0.25745011619363023,-0.5398168711515374,0.14035957568828517,0.017797578789589007,40,-0.0068613896,5.4721346,0.0030716674,2.25,1.0,0.01158279215383637,0.38100421728423217,0.3275914400880121
-156.31012846103303,5000,0.03303253071302142,-1.195476026824506,1.1750974652775572,0.07761947894230496,0.08549202,-2.880347,2.4816024,0.41288793,-3.4106051316484806e-17,-3.7659796032731157,3.298265196627243,0.999966973926215,-0.13080256801998952,-0.418824038568286,0.17833363754705422,0.014504595768637133,45,-0.007086344,5.5003934,0.0035628455,2.25,1.0,0.015901282467251813,0.14440164410531053,0.006343408637662362
-237.81674426091604,5000,0.031068354708004113,-1.130127122269375,1.2661437456824693,0.07751697688760559,0.08377378,-2.438437,2.5059798,0.41409814,0.0,-3.8892037741249794,3.328686189813973,0.9999667754826561,-0.19811823382491325,-0.521134156482254,0.049666810765164875,0.012663312129584041,50,-0.0062468974,5.48407,0.0027329219,2.25,1.0,0.012319546854039572,0.08957536031936619,-0.034018194984600125
-154.42464059302662,5000,0.03043005467990175,-1.1671509584196464,1.265003208546228,0.07576941420628074,0.081569225,-2.4031656,2.873761,0.40725982,-5.684341886080802e-18,-3.28458887989733,3.251961521582481,0.999962517100582,-0.12149883267652901,-0.4415718389629362,0.14778157138493744,0.014536847527146466,55,-0.007764648,5.478417,0.003183952,2.25,1.0,0.013288351909721626,0.14906893800966647,0.09374564820310172
-204.7544169716846,5000,0.02832873632628014,-1.1626179088459523,1.531364581745845,0.07665182494124832,0.07911453,-2.5405,2.7193086,0.4153572,1.1368683772161604e-17,-2.862020216380273,3.443304497003415,0.9999671176132117,-0.18430276971702772,-0.5113936771816017,0.3386738273294681,0.023541866780215442,60,-0.0064507183,5.4488215,0.0028656647,2.25,1.0,0.018690250418610523,0.24159413671988783,0.2038630195969775
-109.93909652557798,5000,0.02961306480884445,-1.2349710480039104,1.3199890478957406,0.07740070886883557,0.07420296,-2.4980574,2.7463424,0.41322184,0.0,-3.9614860900483517,3.4201320708098293,0.9999683086634628,-0.0935146678876056,-0.4664470734670746,0.19810887410353653,0.01699093050952568,65,-0.004654758,5.4337406,0.0020031745,2.25,1.0,0.01627009803342555,0.1164984045191444,0.06777928170183167
-156.73655228441305,5000,0.028025718016183858,-1.208991428003316,1.215587715909976,0.07639828384590439,0.07149508,-2.372759,3.056757,0.40172538,9.947598300641403e-18,-2.6678886141772034,3.834740002568546,0.9999712282824869,-0.1314749125251663,-0.5252919908981957,0.16989073439440636,0.018313106541420775,70,-0.00678991,5.404786,0.002871957,2.25,1.0,0.01718783486321998,0.07877598536149932,0.0034821964826632357
-121.53177396779836,5000,0.030881945803347126,-1.1688624665070044,1.260202911447509,0.0763624058554859,0.083230354,-2.4724364,2.580892,0.40601882,-5.684341886080802e-18,-3.5481312701520697,3.5666813948867135,0.9999642265023198,-0.11482961185346426,-0.39891329006411663,0.2256020469982084,0.015070542332428983,75,-0.0062075434,5.407624,0.0026301807,2.25,1.0,0.011570654730502918,0.23424785123407832,0.17642609369479945
-104.44524609933171,5000,0.0308009378941552,-1.1896658743761843,1.416162890504383,0.07546723187045395,0.08237009,-2.5850394,2.8702133,0.40440452,0.0,-3.333430296199687,4.390113088752086,0.9999630241186456,-0.08682507810815639,-0.41630603305699027,0.28428515946361144,0.0127416696029185,80,-0.0068861074,5.370907,0.0034641265,2.25,1.0,0.0114564951618391,0.12072782264767201,0.09604654341461516
-126.1412233033482,5000,0.028840973851782505,-1.1113858873551472,1.1892687416953052,0.07676127300097657,0.07444407,-2.3014908,2.6013367,0.40197727,4.5474735088646414e-17,-3.3851476565894023,2.7189165449171417,0.999967330186512,-0.11968685328454326,-0.6191936083932411,0.23447609972628408,0.035447652402262796,85,-0.007291097,5.3627424,0.0033616328,2.25,1.0,0.02870341570637354,0.2037371390711391,0.13335128173074462
