_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-227.47169252236927,5000,0.020181766024354383,-1.2434266512598202,1.1929974015496405,0.06846859460048484,-0.03714099,-2.685636,2.7149477,0.40690446,2.9842794901924206e-17,-3.167391052859797,3.466222796131795,0.999993385011369,-0.16949268269525805,-0.4399283806809968,0.03563500744303103,0.012229935766172428,5,-0.014871263,5.5167246,0.008943326,1.5,1.0,0.007165902689863856,0.4171253498687706,-9.836539440902595
-217.85560309954636,5000,0.033823190478701845,-1.2138672464323723,1.3628858046289996,0.07350691829929491,-0.03344625,-2.832295,2.776048,0.41883406,4.5474735088646414e-17,-4.73292240114756,3.8351622232982483,0.9999564012905044,-0.1735265246732903,-0.4178888705979637,0.053675704117756795,0.011005875427331538,10,-0.010498407,5.5151224,0.007020156,2.25,1.0,0.008387620521498872,0.238828893876598,0.18108919375002075
-224.91321656265646,5000,0.02881753244245577,-1.2066759112442011,1.6064633537618815,0.08321987633834306,-0.031959485,-2.6758175,2.9403467,0.42554995,-8.526512829121201e-18,-4.400318761855964,3.52584963347683,0.999956677368396,-0.16869786622934577,-0.48927473776430735,0.02952047337637754,0.010660409507696483,15,-0.0072761504,5.490925,0.0031950432,2.25,1.0,0.007407958523039585,0.3070026356165849,0.1920742063568005
-222.32594873982143,5000,0.01051821812500032,-1.707361305367293,1.2449049472166795,0.09797532981286478,-0.04506969,-3.3150804,2.8887076,0.43256807,-3.4106051316484806e-17,-4.54627930706158,3.0530459477926,0.9999647597415257,-0.16805051120705708,-0.6375396259390854,0.0034010401359020155,0.014816025208087273,20,-0.009695555,5.4852586,0.0040779547,2.25,1.0,0.005763223980779485,0.624493111927739,-1.3517505295154808
-220.92861805252664,5000,0.03176570063978482,-1.251925404268594,1.3105133315634994,0.07582903414479693,-0.014606596,-2.6685827,3.0071187,0.4188931,0.0,-4.984734125596905,3.1236554039674727,0.9999562127253446,-0.18368229541972816,-0.5170096250152347,0.006729645704513548,0.011647450525912425,25,-0.0069305208,5.462471,0.0032423697,2.25,1.0,0.006947025895585422,0.42673066373700275,0.34600357054459907
-186.8734873747071,5000,0.03467478536895835,-1.3018107984535665,1.2700725832207442,0.0742637177201453,-0.025654035,-2.8838677,2.5885234,0.40712106,3.4106051316484806e-17,-3.853490221295623,3.734005610228107,0.9999455598114296,-0.1507420122094046,-0.31787317708178414,0.00407671766762151,0.005019195650518751,30,-0.00842698,5.4498663,0.0037000764,2.25,1.0,0.0028699633383901064,0.46579907900124595,0.38211411502062076
