_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-331.4330894423274,5000,0.04095637675890198,-1.0961392970627966,2.7968058640516253,0.11374600992410033,-0.0008381452,-2.4807785,2.8439016,0.4084582,1.4210854715202004e-18,-3.2876719076038334,3.4803431753616443,0.999981900191258,-0.26346399136013915,-0.5220495754005127,0.011944471600541575,0.0175759530363255,5,-0.015022936,5.53346,0.00984138,1.5,1.0,0.006141385588851797,0.6505836407458943,-0.45091288286492515
-255.23107114709154,5000,0.04336801642059468,-1.334628934618342,1.2104508465540789,0.073502635429857,0.005683071,-2.74254,2.6322136,0.40605035,-3.979039320256561e-17,-3.7862162767420817,3.1425078434247733,0.9999484789003891,-0.20352909792051868,-0.4168994666423963,0.009555713981894965,0.009359714953299144,10,-0.008853876,5.512329,0.0057304236,1.5,1.0,0.005254158807729203,0.47374154906348154,0.2773880655459926
-259.5345519068649,5000,0.029605434335506303,-1.2031862298444387,1.278766048555099,0.07512967862150122,0.010939857,-2.282169,2.955569,0.40776464,2.842170943040401e-18,-3.0910924076141715,3.8943479254453006,0.9999580928920739,-0.21076096322673757,-0.4888897270328485,0.07628959308944293,0.011189534637790377,15,-0.009245738,5.4841037,0.0063729556,2.25,1.0,0.00632205470687401,0.43518620627870586,0.3422820442373301
-169.42769694498708,5000,0.04707361100421861,-1.2441637104845187,1.2565781760924024,0.07606611075625941,-0.0050661066,-2.3977747,2.5639718,0.40438962,4.5474735088646414e-17,-3.842162309133904,4.321575964185065,0.9999429633835618,-0.13747172294473575,-0.4206362207139563,0.027714010537656587,0.0068823028745461845,20,-0.006885382,5.4708805,0.003243907,2.25,1.0,0.0046550419371947085,0.40729256751664444,0.3151758844395318
-143.746694979508,5000,0.04057107273576765,-1.2215001364066678,1.334303374339696,0.07626800214161293,0.006410198,-2.3129034,2.8210864,0.40222463,1.1368683772161604e-17,-3.6005366418177744,3.2133149094662503,0.9999555327785196,-0.11188972601721472,-0.3173917506296405,0.09421804720695104,0.0060527161888068335,25,-0.007100446,5.4487987,0.0035168144,2.25,1.0,0.004874429260897782,0.226024520171477,-0.3968564236351708
-170.0104433089948,5000,0.03807026997795258,-1.2727698191324588,1.33806103454868,0.07666132710096774,0.0029102715,-2.5067942,2.7039893,0.39897427,1.9895196601282805e-17,-3.458948706845279,3.191004162176767,0.999949114827619,-0.1509716070740189,-0.41621640225165485,0.006402207069896246,0.007288876575492412,30,-0.0075665805,5.4541283,0.0036743763,2.25,1.0,0.004846859376409006,0.35040916390470633,0.2827865631636869
-138.62724570835607,5000,0.04142934056647405,-1.3083860575507362,1.3785308467035826,0.07756554769359861,0.006428627,-2.4527714,2.5041826,0.40616164,-2.2737367544323207e-17,-3.577227362529679,3.4377216783270232,0.9999404501744531,-0.12288758788245885,-0.28488129685859886,0.07163123508744651,0.005863950557244666,35,-0.0075735217,5.457511,0.003599581,2.25,1.0,0.0035594694642214946,0.42313401587024535,0.3088789480599765
-161.02544765181904,5000,0.04577838443787781,-1.3155000975452251,1.4495866368874073,0.07619822228265546,-0.0037399367,-2.627308,2.5604217,0.4030868,0.0,-5.322800805938462,4.074997220049776,0.9999388605966083,-0.13960746872812507,-0.34627545985046476,0.0630834643682664,0.005644056968999191,40,-0.006435274,5.4433594,0.0029486679,2.25,1.0,0.004235780715446391,0.2542089047380153,0.07963382877542813
-124.97167056614231,5000,0.04740870827125887,-1.488369866851896,1.5018075792950605,0.07511055832133084,0.00021753184,-2.5368285,2.861151,0.40489182,-2.2737367544323207e-17,-4.323338677382445,4.090217983170571,0.9999360020559345,-0.099158256247337,-0.31858067743059176,0.08684101458812703,0.006264869007393734,45,-0.007847261,5.4175797,0.0037124504,2.25,1.0,0.0036493928732488,0.48255268804785345,0.27918007978937687
-127.00057900457841,5000,0.03288773089425987,-1.355705639053173,1.4108986854139853,0.07729968071191493,0.007783,-2.793806,2.861516,0.39668724,0.0,-3.5125091047758916,4.212769349277822,0.999945069603475,-0.10877889535349976,-0.32940445996263135,0.14228417889431239,0.008388875641810114,50,-0.006201922,5.3877854,0.0029154392,2.25,1.0,0.007014733073645593,0.19326540123246005,0.14809221436027142
