_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-431.8958190543864,5000,0.04854101938705444,-1.2630281948017195,3.0325101718472065,0.12919909318684375,0.010596889,-3.1347156,2.6686897,0.43842995,1.2789769243681803e-17,-2.95010978276369,3.7182372565100326,0.9999934096096346,-0.34476530627173335,-0.6949016842539152,0.024051049389102193,0.023010734979289817,5,-0.012096334,5.528261,0.0078086485,1.5,1.0,0.01599075894755987,0.30697720566779496,-3.6101638208523648
-278.1940450642623,5000,0.0382177022981103,-1.2517028119505536,1.1265283620485425,0.07399096188514516,0.021727622,-2.6170332,2.6424305,0.42441523,-2.2737367544323207e-17,-3.3101022453144746,3.6183759641695006,0.9999699219680029,-0.23763247363746395,-0.6067315661357594,0.007510134560102468,0.015147481737353922,10,-0.009614652,5.5393333,0.006266172,2.25,1.0,0.01602764298468907,0.08966904237606799,-0.03781555530436731
-216.03694279784798,5000,0.048806056352071775,-1.3205370974820942,1.275981962082933,0.09077834823681212,0.021364342,-2.3182266,2.5849776,0.433449,-1.1368683772161604e-17,-3.748988436328689,4.696520296360689,0.9999729925831891,-0.18135162902182078,-0.4252094226088008,0.089921226794408,0.011825157912567016,15,-0.0076110214,5.547946,0.0037021206,2.25,1.0,0.009085646096481723,0.34641516082534507,-0.21373623431868638
-241.05985639570312,5000,0.03974856009948936,-1.1148381396756548,1.5472324941577615,0.08431962207201366,0.018079776,-2.594572,2.6921964,0.43030858,2.5579538487363606e-17,-3.7731938398578695,3.5957376667426586,0.999963700652822,-0.19303156248381378,-0.5178921536897417,0.12961351615380312,0.019639610488609217,20,-0.005647919,5.5422726,0.0025716515,2.25,1.0,0.014321745391742781,0.2777762741069989,0.2258857528584638
-253.21243637786864,5000,0.03911306695141826,-1.2846424346602037,1.3041440021330104,0.0762774953698877,0.012193992,-2.4138684,2.8044028,0.43202353,5.684341886080802e-18,-3.940538239581694,3.317336739951978,0.9999655721223484,-0.20776993589790585,-0.47911332667728396,0.10034697752241757,0.017643423313068347,25,-0.0069351126,5.536338,0.0034553038,2.25,1.0,0.010820703757854051,0.38853192635284206,0.34763953722742624
-247.05587133572962,5000,0.03549436952291197,-1.0797983422862014,1.2068295562992641,0.0818737296421318,0.008223471,-2.8828952,2.9920292,0.4300301,-4.5474735088646414e-17,-4.00441783874803,4.461080726733514,0.9999623627152867,-0.19831970226034368,-0.5792819214939622,0.034519691316899,0.012958967758572935,30,-0.007343485,5.5221996,0.0035392833,2.25,1.0,0.00812683338862122,0.37699417542099134,0.3169575309464687
-137.7513707585071,5000,0.04242296249527587,-1.2836264847433139,1.1932744018779764,0.07325197690204535,0.019656453,-2.5957696,2.9897044,0.42512646,-4.5474735088646414e-17,-3.7320226154681992,3.367888791540856,0.9999570948986813,-0.11608119491374783,-0.3309168504839452,0.10798390315756061,0.007507366880194739,35,-0.0074704196,5.522701,0.0035759627,2.25,1.0,0.007953191974533093,0.0650672217130801,-0.2154493711466543
-184.42465103162107,5000,0.04033556160642277,-1.1294520421537386,1.1753160015508621,0.08772162774954242,0.012226989,-2.838201,2.8346152,0.43207026,1.1368683772161604e-17,-4.403859166581782,3.9488183545687043,0.9999498393835993,-0.16213903499998097,-0.379857389314098,0.050953496888528814,0.008839446732784719,40,-0.0061670295,5.519302,0.0028789951,2.25,1.0,0.002637601502190014,0.7016101319787091,0.39868433449727825
-206.4983981837442,5000,0.040110948992022756,-1.2119915462391908,1.1760990925659298,0.07892094778248299,0.011882706,-2.4512649,2.6308925,0.43065253,-6.821210263296961e-17,-3.858669031381561,3.1205034580495528,0.9999493704367651,-0.1618530917597673,-0.43742355492201906,0.09704993312276256,0.008048680180740186,45,-0.008003512,5.506183,0.004009154,2.25,1.0,0.005905604736036416,0.29249671010566347,0.22586354912126472
-218.94612808838798,5000,0.032835342382780096,-1.2350863497976745,1.19077614550678,0.08715916690377006,0.0029831303,-2.9326236,3.136686,0.42866138,0.0,-4.289102295124085,2.9286904547626005,0.9999519879892197,-0.18890292028709213,-0.5646187990859384,0.04210347529843501,0.01340266090156151,50,-0.008291667,5.4845243,0.003929504,2.25,1.0,0.007594658276075486,0.4334060271281719,0.2860639086152381
